Country, Price
Switzerland, 18.73
Japan, 18.57
Norway, 17.44
Iceland, 16.23
Denmark, 16.21
Algeria, 15.55
Sweden, 15.08
Hong Kong, 14.88
Australia, 14.78
Israel, 13.79
France, 13.79
New Zealand, 13.48
Austria, 13.27
Uruguay, 13.09
Belgium, 12.86
Italy, 12.38
Ireland, 12.29
Singapore, 12.27
Germany, 12.09
Netherlands, 12.00
Malta, 11.91
Puerto Rico, 11.76
Greece, 11.04
Finland, 11.03
Croatia, 11.02
Spain, 10.72
Slovakia, 10.61
United Arab Emirates, 10.53
Azerbaijan, 10.13
Latvia, 10.00
Turkey, 9.94
Bulgaria, 9.92
Albania, 9.81
Cyprus, 9.81
Jordan, 9.76
Qatar, 9.75
Kazakhstan, 9.56
United States, 9.45
Hungary, 9.37
Saudi Arabia, 9.22
Slovenia, 9.13
Argentina, 9.09
Georgia, 9.08
South Africa, 8.61
Tunisia, 8.60
Canada, 8.54
United Kingdom, 8.53
Malaysia, 8.50
Estonia, 8.42
Portugal, 8.36
Indonesia, 8.28
Serbia, 8.03
Romania, 7.81
Chile, 7.70
Lebanon, 7.65
Lithuania, 7.63
Belarus, 7.62
Iraq, 7.39
Poland, 7.37
Ukraine, 7.25
Thailand, 7.22
Costa Rica, 7.16
Morocco, 7.07
Iran, 7.06
Macedonia, 6.84
Brazil, 6.83
Philippines, 6.72
Ecuador, 6.63
Panama, 6.62
China, 6.55
Peru, 6.52
Russia, 6.37
Sri Lanka, 6.32
Bangladesh, 6.22
Vietnam, 6.03
Nepal, 5.69
Dominican Republic, 5.34
Mexico, 5.13
Pakistan, 5.07
Colombia, 5.06
India, 4.52
Egypt, 4.10
